hour,totalLQTYStaked,totalLQTYClaimed
2021-04-05T08:00:00+00:00,,0.000000000000000000000000000000000000
2021-04-05T09:00:00+00:00,19.5000000000000000,126.597800407296000000000000000000000000
2021-04-05T10:00:00+00:00,,2351.759470013410050400000000000000000000
2021-04-05T13:00:00+00:00,,2351.759470013410050400000000000000000000
2021-04-05T14:00:00+00:00,7805.3405751078258943,12944.987848215166550171000000000000000000
2021-04-05T15:00:00+00:00,12249.062577759808,16462.050172578189874094000000000000000000
2021-04-05T16:00:00+00:00,14516.917089624165,18412.217706174125062418000000000000000000
2021-04-05T17:00:00+00:00,16292.950286026370,20562.898002617198558521000000000000000000
2021-04-05T18:00:00+00:00,19474.578482237800,24583.721625612611563597000000000000000000
2021-04-05T19:00:00+00:00,21683.125751987074,26366.961428570218078264000000000000000000
2021-04-05T20:00:00+00:00,23428.735986795982,28857.083275551076533201000000000000000000
2021-04-05T21:00:00+00:00,24727.653582414911,30563.161209981966891678000000000000000000
2021-04-05T22:00:00+00:00,26490.754678380659,33435.768196502377179920000000000000000000
2021-04-05T23:00:00+00:00,28240.064697967916,35104.690707699355443108000000000000000000
2021-04-06T00:00:00+00:00,29737.749102683987,37233.714466481628852023000000000000000000
2021-04-06T01:00:00+00:00,33247.525164149589,42008.472960192716240313000000000000000000
2021-04-06T02:00:00+00:00,35213.030078654869,44667.761981676305845367000000000000000000
2021-04-06T03:00:00+00:00,37543.114209670018,47384.128852377129560398000000000000000000
2021-04-06T04:00:00+00:00,39342.018407677535,49086.729082509180169552000000000000000000
2021-04-06T05:00:00+00:00,41288.980062120171,52330.290496781013512596000000000000000000
2021-04-06T06:00:00+00:00,43715.572512461790,54368.048590528627443289000000000000000000
2021-04-06T07:00:00+00:00,45333.561301896803,56551.639432311110400237000000000000000000
2021-04-06T08:00:00+00:00,47169.063014178015,58936.268792808969142248000000000000000000
2021-04-06T09:00:00+00:00,50501.500005132827,62308.673789182281203835000000000000000000
2021-04-06T10:00:00+00:00,53732.706428075805,65300.307217658956154205000000000000000000
2021-04-06T11:00:00+00:00,55344.395785861201,66649.559940245676674637000000000000000000
2021-04-06T12:00:00+00:00,58346.095475784408,71051.171807229043979003000000000000000000
2021-04-06T13:00:00+00:00,60493.594083830882,73908.812399499645138156000000000000000000
2021-04-06T14:00:00+00:00,62518.198642771282,76958.824085086238411253000000000000000000
2021-04-06T15:00:00+00:00,64025.205831601136,78740.379294703371338874000000000000000000
2021-04-06T16:00:00+00:00,65782.004832940557,83343.221376904461513655000000000000000000
2021-04-06T17:00:00+00:00,69950.848563763418,85082.494263515159992527000000000000000000
2021-04-06T18:00:00+00:00,72893.277396361619,89492.952353575923188470000000000000000000
2021-04-06T19:00:00+00:00,75301.559669334822,91460.835661851001640896000000000000000000
2021-04-06T20:00:00+00:00,76962.867347705749,103637.280929041260966524000000000000000000
2021-04-06T21:00:00+00:00,82043.592272370598,105922.171055971357156081000000000000000000
2021-04-06T22:00:00+00:00,84269.791974776099,107563.715103251757973662000000000000000000
2021-04-06T23:00:00+00:00,86090.040262530446,110104.725693887831790122000000000000000000
2021-04-07T00:00:00+00:00,87765.623541737360,111175.596509847750322846000000000000000000
2021-04-07T01:00:00+00:00,91908.415228898736,115716.082483383506978081000000000000000000
2021-04-07T02:00:00+00:00,94041.261067074656,117461.431894187646743680000000000000000000
2021-04-07T03:00:00+00:00,96609.127616720123,121496.061601516955848709000000000000000000
2021-04-07T04:00:00+00:00,99157.828860687416,123967.262059829688123703000000000000000000
